0,	20.05
1,	14.99
2,	11.98
3,	10.98
4,	10.00
5,	9.39
6,	9.00
7,	8.45
8,	8.01
9,	7.60
10,	7.24
11,	7.01
12,	6.49
13,	6.01
14,	5.85
15,	5.53
16,	5.23
17,	5.00
18,	4.66
19,	4.43
20,	4.18
21,	4.01
22,	3.71
23,	3.49
24,	3.28
25,	3.01
26,	2.90
27,	2.73
28,	2.58
29,	2.44
30,	2.32
31,	2.21
32,	2.10
33,	2.00
34,	1.90
35,	1.82
36,	1.74
37,	1.67
38,	1.60
39,	1.53
40,	1.50
41,	1.41
42,	1.36
43,	1.30
44,	1.25
45,	1.21
46,	1.15
47,	1.11
48,	1.07
49,	1.04
50,	1.00
51,	0.95
52,	0.92
53,	0.89
54,	0.85
55,	0.82
56,	0.79
57,	0.76
58,	0.73
59,	0.70
60,	0.68
61,	0.64
62,	0.62
63,	0.60
64,	0.58
65,	0.55
66,	0.52
67,	0.50
68,	0.48
69,	0.46
70,	0.44
71,	0.42
72,	0.40
73,	0.38
74,	0.36
75,	0.35
76,	0.33
77,	0.31
78,	0.30
79,	0.27
80,	0.26
81,	0.24
82,	0.23
83,	0.21
84,	0.20
85,	0.18
86,	0.17
87,	0.15
88,	0.14
89,	0.13
90,	0.11
91,	0.10
92,	0.08
93,	0.07
94,	0.06
95,	0.05
96,	0.03
97,	0.02
98,	0.01
99,	0.00
